FS_method,Classifier,Top_k,F1_mean,F1_std,Accuracy_mean,Precision_mean,Recall_mean,AUC_mean
LASSO,Soft Voting Ensemble,50,0.7743659364309385,0.06451953629337305,0.77565517308668,0.7774988134445189,0.77565517308668,1.0
LASSO,LightGBM,30,0.7742526225560278,0.028359420364920854,0.7753037157816741,0.7761071305560177,0.7753037157816741,1.0
ReliefF,LightGBM,10,0.7729860142666983,0.019042286338958176,0.7730516698260691,0.7742153938213896,0.7730516698260691,1.0
LASSO,Stacking Ensemble,30,0.7717684121441337,0.031774993728860085,0.7738366881803447,0.7773241366394903,0.7738366881803447,0.9999947615455536
Boruta,Random Forest,10,0.7715343520894024,0.013334208839412073,0.7714862507830906,0.7725331349577375,0.7714862507830906,1.0
Boruta,LightGBM,10,0.7690728959943769,0.01192531607226563,0.7690465844403631,0.7693493207267158,0.7690465844403631,1.0
RF_importance,Soft Voting Ensemble,10,0.7652826515904917,0.010101780052855116,0.7654684278704508,0.7659230664158212,0.7654684278704508,0.999894226302196
Boruta,XGBoost,10,0.7651494771245743,0.005147525420641827,0.7651092794995069,0.7653910242797819,0.7651092794995069,0.9999659354135441
LASSO,Stacking Ensemble,50,0.7648320278173224,0.03823140750186588,0.7674928287085822,0.7752738943152748,0.7674928287085822,0.9965907803828296
Boruta,Soft Voting Ensemble,10,0.764287320375573,0.011655313121527924,0.7644177872533532,0.7643466540790221,0.7644177872533532,0.9999913612882048
Boruta,Stacking Ensemble,10,0.76009897436947,0.017431681421653238,0.7614755782741038,0.7743310506203711,0.7614755782741038,0.995375455550207
LASSO,Random Forest,10,0.7598246980745348,0.012913862936672528,0.7604950977198607,0.7617451369556001,0.7604950977198607,0.9999927704397741
mRMR,Stacking Ensemble,10,0.7595509014981969,0.007082596394794889,0.7597296117067258,0.7615425961156062,0.7597296117067258,0.9762111217188149
Boruta,Stacking Ensemble,30,0.7594262006078255,0.009744781722521008,0.7642578840906313,0.7742654578060744,0.7642578840906313,0.9939210580250839
LASSO,XGBoost,10,0.7554302041397053,0.0304736155956688,0.7556033265017331,0.7554446663084885,0.7556033265017331,1.0
LASSO,Soft Voting Ensemble,30,0.7553040670950898,0.06557822502622945,0.7583616041041993,0.7621985938206831,0.7583616041041993,1.0
LASSO,LightGBM,10,0.7550816635205274,0.022277148724835806,0.7552246664851302,0.7550756769741627,0.7552246664851302,1.0
RFE_SVM,Stacking Ensemble,10,0.7446012786052955,0.031458747876201704,0.744718219720132,0.7454741790887199,0.744718219720132,0.9822434155403449
LASSO,Soft Voting Ensemble,10,0.743379252769837,0.014466263660314652,0.7448661074707085,0.7458555223629677,0.7448661074707085,0.9999943052067494
RF_importance,Stacking Ensemble,10,0.7365202218635721,,0.736517719568567,0.7365262213769647,0.736517719568567,0.984908921685946
ReliefF,Stacking Ensemble,10,0.7322456456075807,0.023256393047834334,0.7327153441351614,0.7371526122340227,0.7327153441351614,0.9550926974165068
